influencer_id,Number of subscribers,followers,average_likes,average_comments,average_shares,primary_platform,Targeted_audience_age,Targetaudience_gender,past_campaign_success,product_category,budget_per_video,engagement_rate,follower_growth_rate,pat_campaign_success_rate,Geographical location: state of India,campaign duration,score
1,105142,391772,21984,7208,3155,Facebook,25 to 35,Others,4.1,Accessories,109502,3.8,6.2,2.2,Sikkim,3 months,3.4
2,862142,142983,41491,4741,1587,Instagram,5 to 15,Others,2.1,Clothing,89273,6.0,5.7,7.3,Gujarat,1 year,4.8
3,592238,115478,4553,9401,458,YouTube,5 to 15,Male,4.9,Cosmetics,54846,4.3,1.7,4.9,Rajasthan,3 months,3.2
4,845945,275433,16808,1124,311,Instagram,25 to 35,Female,2.6,Clothing,127661,9.8,10.0,2.5,Gujarat,2 years,5.1
5,833454,88199,9059,371,971,Instagram,35 to 45,Female,6.9,Clothing,86639,4.7,2.8,3.4,Rajasthan,6 months,3.8
6,57417,271670,30390,9967,3941,Instagram,5 to 15,Female,7.2,Accessories,106283,5.4,4.9,3.3,Rajasthan,6 months,4.4
7,367733,283138,21089,7791,2605,Instagram,5 to 15,Male,8.7,Cosmetics,104428,1.3,8.3,5.5,Tamil Nadu,2 years,4.9
8,298090,291737,18380,257,4050,Facebook,35 to 45,Others,6.6,Accessories,125871,2.7,1.2,8.3,Rajasthan,1 month,3.9
9,238903,181175,41973,4737,4285,YouTube,25 to 35,Female,4.0,Cosmetics,133834,8.6,1.9,9.5,Gujarat,1 month,5.3
10,975657,180684,17713,6881,3135,Instagram,35 to 45,Others,1.3,Clothing,60382,6.7,3.0,8.0,Rajasthan,2 years,4.0
11,336092,454613,25406,5922,1063,Instagram,5 to 15,Male,1.6,Clothing,121528,8.3,6.0,9.9,Rajasthan,6 months,5.3
12,837872,155017,30227,2689,695,Instagram,5 to 15,Others,8.5,Accessories,142483,7.7,3.8,9.6,Maharashtra,3 months,6.3
13,363386,450335,43574,6964,4550,Facebook,35 to 45,Others,2.5,Cosmetics,60398,2.2,8.8,9.4,Maharashtra,1 year,4.8
14,343493,12426,4993,822,1362,YouTube,15 to 25,Female,9.3,Accessories,92060,8.6,4.7,7.7,Kerala,3 months,6.9
15,631108,350544,49743,4835,4678,Facebook,25 to 35,Female,3.9,Cosmetics,121725,7.2,4.9,5.8,Punjab,1 year,4.6
16,868788,32589,17185,2603,1102,Facebook,15 to 25,Female,5.1,Cosmetics,50366,2.9,9.0,6.3,Sikkim,3 months,5.7
17,516997,105977,36731,7823,1778,Instagram,25 to 35,Others,6.5,Cosmetics,64687,5.2,8.6,5.8,Kerala,3 months,5.9
18,406488,291347,8869,2509,2043,YouTube,35 to 45,Others,9.9,Clothing,69285,2.2,3.9,6.6,Kerala,1 year,4.6
19,731548,355601,41865,1302,1784,YouTube,25 to 35,Male,4.4,Cosmetics,81180,3.4,4.3,8.4,Gujarat,1 year,4.3
20,471970,330040,36926,6433,4103,Facebook,35 to 45,Male,3.3,Cosmetics,131309,1.1,8.8,3.7,Sikkim,6 months,3.6
21,416768,10648,44010,1661,3051,Facebook,25 to 35,Male,3.6,Cosmetics,114776,3.7,5.2,5.0,Sikkim,6 months,11.8
22,857932,162303,8135,2077,1247,Facebook,5 to 15,Male,4.4,Cosmetics,75453,9.2,4.1,6.4,Tamil Nadu,2 months,4.9
23,773535,303116,47534,859,2744,Facebook,15 to 25,Others,2.1,Cosmetics,146404,8.3,2.1,3.0,Kerala,1 month,3.4
24,667579,345690,36804,4861,415,Facebook,5 to 15,Male,5.5,Accessories,65380,1.1,5.0,4.0,Kerala,2 months,3.3
25,395211,422984,45783,3378,4001,Facebook,35 to 45,Male,5.6,Clothing,68246,5.9,9.9,1.9,Punjab,3 months,4.9
26,165731,442781,8959,4413,172,Facebook,5 to 15,Female,2.4,Cosmetics,106711,3.0,3.2,5.8,Maharashtra,2 months,2.9
27,519514,464428,29020,5345,2820,Instagram,5 to 15,Female,7.3,Cosmetics,144059,5.7,4.7,2.2,Rajasthan,1 month,4.1
28,685622,397206,9110,9604,2854,YouTube,25 to 35,Male,8.9,Clothing,148632,1.6,8.4,8.8,Punjab,3 months,5.6
29,844441,271138,17684,7351,3452,Facebook,25 to 35,Female,1.9,Accessories,136230,5.8,3.3,3.5,Sikkim,2 years,3.0
30,102373,463119,10356,5715,4096,Facebook,35 to 45,Male,9.8,Cosmetics,132261,6.5,4.0,7.7,Sikkim,1 month,5.6
31,659565,40422,2443,5737,73,Instagram,35 to 45,Others,3.9,Accessories,126422,6.9,6.8,8.3,Kerala,6 months,5.3
32,120149,26758,25173,685,2170,Facebook,5 to 15,Others,6.6,Clothing,112000,3.8,9.0,5.9,Tamil Nadu,1 year,6.9
33,247812,55748,24590,4999,383,YouTube,15 to 25,Female,4.1,Cosmetics,69944,1.2,3.0,4.6,Sikkim,1 year,3.5
34,565497,450004,27417,1882,694,Instagram,35 to 45,Male,3.4,Clothing,112648,1.2,3.7,1.2,Gujarat,3 months,2.0
35,468275,256967,46280,9013,1945,Instagram,5 to 15,Others,5.9,Clothing,130386,9.1,7.9,5.5,Gujarat,1 month,6.0
36,228959,29853,40017,2626,1721,Facebook,35 to 45,Female,4.7,Accessories,112896,8.5,1.6,10.0,Maharashtra,1 year,7.6
37,236014,57794,39099,3920,4422,YouTube,15 to 25,Others,4.6,Cosmetics,52112,8.4,9.4,1.1,Rajasthan,1 month,6.1
38,121307,143962,38823,3264,2718,Instagram,15 to 25,Female,7.0,Cosmetics,101929,5.2,6.6,8.8,Maharashtra,1 year,6.1
39,499914,429761,2055,5296,4023,YouTube,35 to 45,Male,4.7,Clothing,99600,8.0,3.4,1.0,Tamil Nadu,1 month,3.4
40,586356,383629,45115,839,2989,Instagram,5 to 15,Others,3.0,Clothing,133655,8.8,7.9,9.6,Sikkim,3 months,6.1
41,808069,227716,20148,836,4212,Instagram,15 to 25,Male,8.3,Accessories,149627,8.0,8.6,9.7,Sikkim,1 year,7.1
42,890396,346146,38946,226,172,YouTube,15 to 25,Female,5.5,Cosmetics,90379,3.9,6.8,9.6,Maharashtra,3 months,5.4
43,637133,422645,3986,9778,2338,YouTube,15 to 25,Male,7.8,Accessories,93406,3.3,7.4,4.5,Maharashtra,1 year,4.6
44,311961,213733,12940,8488,2028,Facebook,25 to 35,Female,6.8,Accessories,84574,4.4,1.9,7.0,Kerala,2 years,4.1
45,110325,191205,9942,4834,4213,YouTube,25 to 35,Female,3.7,Accessories,106819,2.5,5.2,9.0,Rajasthan,1 year,4.2
46,127417,232999,36776,647,81,YouTube,15 to 25,Others,1.5,Cosmetics,116584,8.9,9.1,8.0,Kerala,2 months,5.8
47,490213,396290,24443,3066,4298,Instagram,5 to 15,Others,8.9,Clothing,146283,7.9,6.1,7.5,Sikkim,6 months,6.2
48,824935,11383,48999,3453,2671,Instagram,15 to 25,Male,3.8,Clothing,88278,6.5,4.9,8.4,Tamil Nadu,1 year,13.3
49,251364,437633,16810,4788,1267,YouTube,5 to 15,Others,7.2,Accessories,101007,5.6,3.2,5.5,Sikkim,2 months,4.4
50,521368,135156,3900,8142,271,Facebook,25 to 35,Female,7.2,Cosmetics,142664,8.0,4.6,1.5,Punjab,1 month,4.3
51,742901,394372,33819,1802,1822,Instagram,15 to 25,Others,3.1,Accessories,111182,1.7,4.4,6.8,Punjab,6 months,3.4
52,739172,99704,29193,1937,3581,YouTube,25 to 35,Male,2.8,Clothing,52000,5.7,7.9,2.6,Punjab,1 month,4.4
53,175655,404282,8707,6347,2668,Instagram,25 to 35,Male,2.2,Clothing,148306,1.5,7.9,3.3,Sikkim,3 months,3.0
54,341584,267443,20542,2844,4961,Facebook,15 to 25,Male,9.8,Clothing,58941,5.3,7.0,8.0,Rajasthan,2 months,6.2
55,290144,391087,13215,5695,4445,Instagram,25 to 35,Others,3.7,Cosmetics,140867,4.4,3.6,4.3,Punjab,3 months,3.3
56,593199,181648,26289,2636,1798,Facebook,25 to 35,Female,3.1,Cosmetics,135594,1.1,3.3,7.1,Gujarat,1 year,3.2
57,158972,450919,16568,4161,1955,Facebook,15 to 25,Others,9.7,Accessories,139170,4.7,3.1,7.9,Tamil Nadu,3 months,5.2
58,890485,52599,43217,3991,1095,Facebook,25 to 35,Others,1.4,Cosmetics,58029,7.4,7.7,3.9,Gujarat,6 months,5.7
59,813031,235489,20650,5419,4395,YouTube,15 to 25,Female,8.3,Accessories,101425,8.5,8.6,6.0,Maharashtra,1 month,6.5
60,691267,295045,47610,1120,1275,YouTube,25 to 35,Male,7.9,Accessories,93405,3.4,4.5,6.3,Sikkim,6 months,4.7
61,914249,189929,30011,2530,4809,Facebook,5 to 15,Male,3.0,Clothing,96797,3.8,3.0,8.5,Punjab,2 years,4.0
62,212008,349184,39686,8272,4633,Facebook,5 to 15,Male,2.3,Accessories,97711,5.6,7.3,9.1,Tamil Nadu,2 months,5.1
63,678551,470478,37730,180,2661,Facebook,35 to 45,Male,3.1,Clothing,118442,7.2,9.4,1.5,Tamil Nadu,2 years,4.4
64,973634,380347,12001,9304,4235,Facebook,15 to 25,Others,2.6,Clothing,68086,4.2,7.7,8.0,Rajasthan,2 years,4.6
65,142780,205124,33492,9066,4671,Instagram,5 to 15,Female,9.4,Accessories,89690,6.6,1.4,2.9,Punjab,2 years,4.4
66,795869,420453,26273,5664,1845,YouTube,25 to 35,Female,4.5,Clothing,134808,9.4,6.6,3.9,Rajasthan,3 months,5.0
67,622093,470385,46539,3282,2722,Facebook,35 to 45,Male,4.6,Accessories,61959,9.4,6.9,1.1,Rajasthan,1 month,4.6
68,327428,486364,21919,4908,1731,Facebook,5 to 15,Female,7.3,Accessories,148649,6.6,9.7,7.3,Sikkim,1 year,6.3
69,778831,243874,47460,8062,194,Facebook,35 to 45,Male,6.1,Cosmetics,131109,4.2,1.6,9.6,Tamil Nadu,6 months,4.7
70,221078,432659,7154,7773,3844,YouTube,5 to 15,Male,2.9,Accessories,50580,3.7,1.4,6.1,Rajasthan,2 years,2.9
71,67615,324547,35574,9555,167,YouTube,25 to 35,Others,3.1,Cosmetics,53059,4.2,8.4,9.2,Maharashtra,2 months,5.2
72,344722,404311,46161,8467,2309,Instagram,35 to 45,Female,5.8,Accessories,119574,6.0,5.2,6.6,Punjab,2 months,4.9
73,797234,332512,26944,6913,4590,YouTube,5 to 15,Female,4.7,Cosmetics,115312,1.2,5.6,4.0,Rajasthan,3 months,3.3
74,280019,232643,44150,7305,1603,Facebook,15 to 25,Others,4.9,Accessories,127668,1.4,7.4,2.5,Sikkim,1 year,3.6
75,939117,491028,35128,6167,3525,YouTube,25 to 35,Female,2.8,Clothing,56469,9.0,5.2,3.4,Kerala,1 month,4.2
